"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"","","","Transfusion: Robust lidar-camera fusion for 3d object detection with transformers","2022","CoRR","","","","","","","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133311167&partnerID=40&md5=53b81979dd69907f55d0fe84def16917","Article","Final","","Scopus","2-s2.0-85133311167"
"","","","","2022","Transfusion: Robust Lidar-Camera Fusion for 3D Object Detection with Transformers","","","","","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213388469&partnerID=40&md5=8981535887780e836fcc95c6b5998d12","Article","Final","","Scopus","2-s2.0-85213388469"
"","","","Transfusion: Robust lidar-camera fusion for 3d object detection with transformers","2022","Transfusion: Robust lidar-camera fusion for 3d object detection with transformers","","","","1090","1099","9","33","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131654212&partnerID=40&md5=0018dae106ff04c14ea2b1f95471b30e","Article","Final","","Scopus","2-s2.0-85131654212"
"","","","","2022","TransFusion: Robust LiDAR-Camera Fusion for 3D Object Detection with Transformers","","","","","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165555389&partnerID=40&md5=5ead17ccadad8651612213bbf1c96169","Article","Final","","Scopus","2-s2.0-85165555389"
"","","","TransFusion: Robust LiDAR-camera fusion for 3D object detection with transformers","2023","Proc. IEEE Conf. Comput. Vis. Pattern Recognit. (CVPR)","","","","12041","12050","9","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210782042&partnerID=40&md5=f9b1f3e8616e9735a0235a0ea1d52f40","Article","Final","","Scopus","2-s2.0-85210782042"
"","","","","2022","Transfusion: Robust Lidar-Camera Fusion for 3D Object Detection with Transformers. Arxiv Preprint Arxiv","2203","","","11496","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151061884&partnerID=40&md5=31238d75e5b61e5658ab30ae6c7ac37c","Article","Final","","Scopus","2-s2.0-85151061884"
"","","","TransFusion: robust LiDAR-camera fusion for 3D object detection with transformers","2022","arXiv","22","","","","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191414797&partnerID=40&md5=538ae446dd71f5b940585019e7359162","Article","Final","","Scopus","2-s2.0-85191414797"
"","","","TransFusion: Robust Lidar-Camera Fusion for 3d Object Detection with Transformers","2022","CVPR","","","","","","","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160309094&partnerID=40&md5=a7188cc06692195ddfa20c141275875a","Article","Final","","Scopus","2-s2.0-85160309094"
"","","","Transfusion: Robust lidar-camera fusion for 3d object detection with transformers","2022","CVPR","","","","","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177436949&partnerID=40&md5=913bfcc92a4da25720ca373dacabe966","Article","Final","","Scopus","2-s2.0-85177436949"
"","","","","2022","TransFusion: robust lidar-camera fusion for 3D object detection with transformers. Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition, pp. 1090–1099","","","","","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203345454&partnerID=40&md5=b5769e5380c6c4cd9068e073fc65ae3d","Article","Final","","Scopus","2-s2.0-85203345454"
"","","","Transfusion: Robust lidar-camera fusion for 3D object detection with transformers","2022","Arxiv Preprint Arxiv","2203","","","11496","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182817888&partnerID=40&md5=c606fc2cf1692a8f758ecfd6f31a0dd1","Article","Final","","Scopus","2-s2.0-85182817888"
