Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Al Amer, S., Lee, M., Smith, P.","58754623400;56143088500;57212190478;","Adopting Ensemble Learning for Cross-lingual Classification of Crisis-related Text On Social Media",2024,"LoResMT 2024 - 7th Workshop on Technologies for Machine Translation of Low-Resource Languages, Proceedings of the Workshop",,,,"50","56",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204885255&partnerID=40&md5=0b25d5a51bca6b35534b038ed4f0797e",Conference Paper,"Final","",Scopus,2-s2.0-85204885255
"Peignier, S., Sorin, B., Calevro, F.","57188831943;57437910200;6506942181;","Ensemble Learning Based Gene Regulatory Network Inference",2023,"International Journal on Artificial Intelligence Tools","32","5","2360005","","",,,"10.1142/S0218213023600059","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169413716&doi=10.1142%2fS0218213023600059&partnerID=40&md5=925e4721eefc9fad806daa65603b3a75",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85169413716
"Yang, Y., Lv, H., Chen, N.","57218495854;57218531222;34879572100;","A Survey on ensemble learning under the era of deep learning",2023,"Artificial Intelligence Review","56","6",,"5545","5589",,102,"10.1007/s10462-022-10283-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141216102&doi=10.1007%2fs10462-022-10283-5&partnerID=40&md5=732338b70469c61369d8bef65721f855",Article,"Final","",Scopus,2-s2.0-85141216102
"Dong, J., Zhang, Q., Huang, X., Tan, Q., Zha, D., Zihao, Z.","57777192700;57777192800;57193628904;57217342704;56579935400;57210344266;","Active Ensemble Learning for Knowledge Graph Error Detection",2023,"WSDM 2023 - Proceedings of the 16th ACM International Conference on Web Search and Data Mining",,,,"877","885",,13,"10.1145/3539597.3570368","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145450793&doi=10.1145%2f3539597.3570368&partnerID=40&md5=b4b3decff7f2e023867d908262b342ad",Conference Paper,"Final","",Scopus,2-s2.0-85145450793
"Shahzad, F., Mannan, A., Javed, A.R., Almadhor, A.S., Baker, T., Al-Jumeily OBE, D.","57224789768;59158659200;57215024733;57202875014;34267505000;57382902800;","Cloud-based multiclass anomaly detection and categorization using ensemble learning",2022,"Journal of Cloud Computing","11","1","74","","",,31,"10.1186/s13677-022-00329-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141195671&doi=10.1186%2fs13677-022-00329-y&partnerID=40&md5=913b8ac4db373417c7e241d0b259efa0",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85141195671
"Lu, Z., Wang, J., Wu, Y., Guo, X., Xiao, W.","57869948200;36538311500;56342595500;15030056700;56599663900;","Predicting hydrogen storage capacity of V–Ti–Cr–Fe alloy via ensemble machine learning",2022,"International Journal of Hydrogen Energy","47","81",,"34583","34593",,23,"10.1016/j.ijhydene.2022.08.050","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137073920&doi=10.1016%2fj.ijhydene.2022.08.050&partnerID=40&md5=1b2162118d71bcca04ef5731ffb2672a",Article,"Final","",Scopus,2-s2.0-85137073920
"Gurung, B.D.S., Devadig, R., Do, T., Gadhamshetty, V., Gnimpieba, E.Z.","58074813400;58073851800;57720420800;57203474187;43061216100;","U-Net Based Image Segmentation Techniques for Development of Non-Biocidal Fouling-Resistant Ultra-Thin Two-dimensional (2D) Coatings",2022,"Proceedings - 2022 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2022",,,,"3602","3604",,5,"10.1109/BIBM55620.2022.9995609","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146659682&doi=10.1109%2fBIBM55620.2022.9995609&partnerID=40&md5=a6ea1c45e0a0931a17096d8bc132496d",Conference Paper,"Final","",Scopus,2-s2.0-85146659682
"Javed, A.R., Usman, M., Rehman, S.U., Khan, M.U., Haghighi, M.S.","57215024733;58253637700;59436430800;57219562940;57219945051;","Anomaly Detection in Automated Vehicles Using Multistage Attention-Based Convolutional Neural Network",2021,"IEEE Transactions on Intelligent Transportation Systems","22","7","9210741","4291","4300",,136,"10.1109/TITS.2020.3025875","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110753705&doi=10.1109%2fTITS.2020.3025875&partnerID=40&md5=fb299417d7f4a99851549b56c4459b5d",Article,"Final","",Scopus,2-s2.0-85110753705
"Peignier, S., Sorin, B., Calevro, F.","57188831943;57437910200;6506942181;","Ensemble Learning Based Gene Regulatory Network Inference",2021,"Proceedings - International Conference on Tools with Artificial Intelligence, ICTAI","2021-November",,,"113","120",,7,"10.1109/ICTAI52525.2021.00024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123926212&doi=10.1109%2fICTAI52525.2021.00024&partnerID=40&md5=f107676b9a4095ac8a0c235ebfe13500",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85123926212
"Castellanos-Garzón, J.A., Martín, Y.M., Sánchez, J.L.J., García, S.M.L., Costa, E.","14031015100;57208125390;57206482911;57220211915;7402527365;","A genetic programming strategy to induce logical rules for clinical data analysis",2020,"Processes","8","12","1565","1","23",,,"10.3390/pr8121565","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097293725&doi=10.3390%2fpr8121565&partnerID=40&md5=bc57cc0e4c52602cbfa52a9c81df8605",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85097293725
"Farag, W.","6602879990;","A comprehensive real-time road-lanes tracking technique for autonomous driving",2020,"International Journal of Computing and Digital Systems","9","3",,"349","362",,15,"10.12785/IJCDS/090302","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091425441&doi=10.12785%2fIJCDS%2f090302&partnerID=40&md5=6c1eab9eada6bbede508c8c26f43774f",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85091425441
