Cited Article Title,Cited Article EID,Cited Article Link,Miscited Article Title,Miscited Article EID,Miscited Article Link,Citing Article Title,Citing Article EID,Citing Article Link,Reason
TransFusion: Robust LiDAR-Camera Fusion for 3D Object Detection with Transformers,2-s2.0-85138200851,https://www.scopus.com/record/display.url?eid=2-s2.0-85138200851&origin=resultslist,Transfusion: Robust lidar-camera fusion for 3d object detection with transformers,2-s2.0-85133311167,https://www.scopus.com/record/display.url?eid=2-s2.0-85133311167&origin=resultslist,LargeKernel3D: Scaling up Kernels in 3D Sparse CNNs,2-s2.0-85172383384,https://www.scopus.com/record/display.url?eid=2-s2.0-85172383384&origin=resultslist,F04; F07
TransFusion: Robust LiDAR-Camera Fusion for 3D Object Detection with Transformers,2-s2.0-85138200851,https://www.scopus.com/record/display.url?eid=2-s2.0-85138200851&origin=resultslist,Transfusion: Robust lidar-camera fusion for 3d object detection with transformers,2-s2.0-85133311167,https://www.scopus.com/record/display.url?eid=2-s2.0-85133311167&origin=resultslist,Towards Long-Tailed 3D Detection,2-s2.0-85164914269,https://www.scopus.com/record/display.url?eid=2-s2.0-85164914269&origin=resultslist,F04; F07
TransFusion: Robust LiDAR-Camera Fusion for 3D Object Detection with Transformers,2-s2.0-85138200851,https://www.scopus.com/record/display.url?eid=2-s2.0-85138200851&origin=resultslist,,2-s2.0-85213388469,https://www.scopus.com/record/display.url?eid=2-s2.0-85213388469&origin=resultslist,LDFA: Lightweight Dynamic Feature Aggregation for Multi-Modal Fusion,2-s2.0-85213377858,https://www.scopus.com/record/display.url?eid=2-s2.0-85213377858&origin=resultslist,F04
TransFusion: Robust LiDAR-Camera Fusion for 3D Object Detection with Transformers,2-s2.0-85138200851,https://www.scopus.com/record/display.url?eid=2-s2.0-85138200851&origin=resultslist,Transfusion: Robust lidar-camera fusion for 3d object detection with transformers,2-s2.0-85131654212,https://www.scopus.com/record/display.url?eid=2-s2.0-85131654212&origin=resultslist,OmniFuse: A general modality fusion framework for multi-modality learning on low-quality medical data,2-s2.0-85213247053,https://www.scopus.com/record/display.url?eid=2-s2.0-85213247053&origin=resultslist,F04; F07
TransFusion: Robust LiDAR-Camera Fusion for 3D Object Detection with Transformers,2-s2.0-85138200851,https://www.scopus.com/record/display.url?eid=2-s2.0-85138200851&origin=resultslist,Transfusion: Robust lidar-camera fusion for 3d object detection with transformers,2-s2.0-85131654212,https://www.scopus.com/record/display.url?eid=2-s2.0-85131654212&origin=resultslist,A skin lesion segmentation network with edge and body fusion,2-s2.0-85214405411,https://www.scopus.com/record/display.url?eid=2-s2.0-85214405411&origin=resultslist,F04; F07
TransFusion: Robust LiDAR-Camera Fusion for 3D Object Detection with Transformers,2-s2.0-85138200851,https://www.scopus.com/record/display.url?eid=2-s2.0-85138200851&origin=resultslist,Transfusion: Robust lidar-camera fusion for 3d object detection with transformers,2-s2.0-85131654212,https://www.scopus.com/record/display.url?eid=2-s2.0-85131654212&origin=resultslist,VIDF-Net: A Voxel-Image Dynamic Fusion method for 3D object detection,2-s2.0-85203545523,https://www.scopus.com/record/display.url?eid=2-s2.0-85203545523&origin=resultslist,F04; F07
TransFusion: Robust LiDAR-Camera Fusion for 3D Object Detection with Transformers,2-s2.0-85138200851,https://www.scopus.com/record/display.url?eid=2-s2.0-85138200851&origin=resultslist,Transfusion: Robust lidar-camera fusion for 3d object detection with transformers,2-s2.0-85131654212,https://www.scopus.com/record/display.url?eid=2-s2.0-85131654212&origin=resultslist,Sparse agent transformer for unified voxel and image feature extraction and fusion,2-s2.0-85192719648,https://www.scopus.com/record/display.url?eid=2-s2.0-85192719648&origin=resultslist,F04; F07
TransFusion: Robust LiDAR-Camera Fusion for 3D Object Detection with Transformers,2-s2.0-85138200851,https://www.scopus.com/record/display.url?eid=2-s2.0-85138200851&origin=resultslist,Transfusion: Robust lidar-camera fusion for 3d object detection with transformers,2-s2.0-85131654212,https://www.scopus.com/record/display.url?eid=2-s2.0-85131654212&origin=resultslist,Boosting 3D point-based object detection by reducing information loss caused by discontinuous receptive fields,2-s2.0-85200466530,https://www.scopus.com/record/display.url?eid=2-s2.0-85200466530&origin=resultslist,F04; F07
TransFusion: Robust LiDAR-Camera Fusion for 3D Object Detection with Transformers,2-s2.0-85138200851,https://www.scopus.com/record/display.url?eid=2-s2.0-85138200851&origin=resultslist,Transfusion: Robust lidar-camera fusion for 3d object detection with transformers,2-s2.0-85131654212,https://www.scopus.com/record/display.url?eid=2-s2.0-85131654212&origin=resultslist,Joint Semantic Segmentation using representations of LiDAR point clouds and camera images,2-s2.0-85188645228,https://www.scopus.com/record/display.url?eid=2-s2.0-85188645228&origin=resultslist,F04; F07
TransFusion: Robust LiDAR-Camera Fusion for 3D Object Detection with Transformers,2-s2.0-85138200851,https://www.scopus.com/record/display.url?eid=2-s2.0-85138200851&origin=resultslist,Transfusion: Robust lidar-camera fusion for 3d object detection with transformers,2-s2.0-85131654212,https://www.scopus.com/record/display.url?eid=2-s2.0-85131654212&origin=resultslist,Enhancing pseudo label quality for pedestrian and cyclist in weakly supervised 3D object detection,2-s2.0-85188906774,https://www.scopus.com/record/display.url?eid=2-s2.0-85188906774&origin=resultslist,F04; F07
TransFusion: Robust LiDAR-Camera Fusion for 3D Object Detection with Transformers,2-s2.0-85138200851,https://www.scopus.com/record/display.url?eid=2-s2.0-85138200851&origin=resultslist,Transfusion: Robust lidar-camera fusion for 3d object detection with transformers,2-s2.0-85131654212,https://www.scopus.com/record/display.url?eid=2-s2.0-85131654212&origin=resultslist,DHFNet: Decoupled Hierarchical Fusion Network for RGB-T dense prediction tasks,2-s2.0-85189091599,https://www.scopus.com/record/display.url?eid=2-s2.0-85189091599&origin=resultslist,F04; F07
TransFusion: Robust LiDAR-Camera Fusion for 3D Object Detection with Transformers,2-s2.0-85138200851,https://www.scopus.com/record/display.url?eid=2-s2.0-85138200851&origin=resultslist,Transfusion: Robust lidar-camera fusion for 3d object detection with transformers,2-s2.0-85131654212,https://www.scopus.com/record/display.url?eid=2-s2.0-85131654212&origin=resultslist,BEV-CFKT: A LiDAR-camera cross-modality-interaction fusion and knowledge transfer framework with transformer for BEV 3D object detection,2-s2.0-85187954789,https://www.scopus.com/record/display.url?eid=2-s2.0-85187954789&origin=resultslist,F04; F07
TransFusion: Robust LiDAR-Camera Fusion for 3D Object Detection with Transformers,2-s2.0-85138200851,https://www.scopus.com/record/display.url?eid=2-s2.0-85138200851&origin=resultslist,Transfusion: Robust lidar-camera fusion for 3d object detection with transformers,2-s2.0-85131654212,https://www.scopus.com/record/display.url?eid=2-s2.0-85131654212&origin=resultslist,Methodology and algorithms for obtaining long-range 3D-portraits of objects based on 2D-intensity distributions of truncated realizations of reflected laser radiation,2-s2.0-85208434124,https://www.scopus.com/record/display.url?eid=2-s2.0-85208434124&origin=resultslist,F04; F07
TransFusion: Robust LiDAR-Camera Fusion for 3D Object Detection with Transformers,2-s2.0-85138200851,https://www.scopus.com/record/display.url?eid=2-s2.0-85138200851&origin=resultslist,Transfusion: Robust lidar-camera fusion for 3d object detection with transformers,2-s2.0-85131654212,https://www.scopus.com/record/display.url?eid=2-s2.0-85131654212&origin=resultslist,CrossPrune: Cooperative pruning for camera–LiDAR fused perception models of autonomous driving,2-s2.0-85186127689,https://www.scopus.com/record/display.url?eid=2-s2.0-85186127689&origin=resultslist,F04; F07
TransFusion: Robust LiDAR-Camera Fusion for 3D Object Detection with Transformers,2-s2.0-85138200851,https://www.scopus.com/record/display.url?eid=2-s2.0-85138200851&origin=resultslist,Transfusion: Robust lidar-camera fusion for 3d object detection with transformers,2-s2.0-85131654212,https://www.scopus.com/record/display.url?eid=2-s2.0-85131654212&origin=resultslist,Leveraging Imagery Data with Spatial Point Prior for Weakly Semi-supervised 3D Object Detection,2-s2.0-85189287389,https://www.scopus.com/record/display.url?eid=2-s2.0-85189287389&origin=resultslist,F04; F07
TransFusion: Robust LiDAR-Camera Fusion for 3D Object Detection with Transformers,2-s2.0-85138200851,https://www.scopus.com/record/display.url?eid=2-s2.0-85138200851&origin=resultslist,Transfusion: Robust lidar-camera fusion for 3d object detection with transformers,2-s2.0-85131654212,https://www.scopus.com/record/display.url?eid=2-s2.0-85131654212&origin=resultslist,Feature matching driven background generalization neural networks for surface defect segmentation,2-s2.0-85184066222,https://www.scopus.com/record/display.url?eid=2-s2.0-85184066222&origin=resultslist,F04; F07
TransFusion: Robust LiDAR-Camera Fusion for 3D Object Detection with Transformers,2-s2.0-85138200851,https://www.scopus.com/record/display.url?eid=2-s2.0-85138200851&origin=resultslist,Transfusion: Robust lidar-camera fusion for 3d object detection with transformers,2-s2.0-85131654212,https://www.scopus.com/record/display.url?eid=2-s2.0-85131654212&origin=resultslist,Deep learning-based fusion networks with high-order attention mechanism for 3D object detection in autonomous driving scenarios,2-s2.0-85182504744,https://www.scopus.com/record/display.url?eid=2-s2.0-85182504744&origin=resultslist,F04; F07
