Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Li, A.X., Kang, K.W., Zhang, J.S., Xu, M.K., Huang, D., Liu, S.K., Jiang, Y.T., Li, G.","57371946300;59045366900;55653519000;59140024800;59113558800;59140090000;59139991800;55705570600;","Pursuing ultrahigh strength–ductility CoCrNi-based medium-entropy alloy by low-temperature pre-aging",2025,"Journal of Materials Science and Technology","220",,,"115","128",,,"10.1016/j.jmst.2024.09.025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213555634&doi=10.1016%2fj.jmst.2024.09.025&partnerID=40&md5=df70c8f9d73817b3030903401cc1eb33",Article,"Final","",Scopus,2-s2.0-85213555634
"Zhu, H., Gao, Q., Zou, Y., Ding, H.","57223973780;57216259998;57194214559;35319522500;","Achieving strength ductility synergy of multiple hetero-structured Fe–24Mn–10Al–1C duplex lightweight steel",2025,"Materials Science and Engineering: A","922",,"147651","","",,,"10.1016/j.msea.2024.147651","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211158634&doi=10.1016%2fj.msea.2024.147651&partnerID=40&md5=4016a7150dcab1b11e849ac0cb627734",Article,"Final","",Scopus,2-s2.0-85211158634
"Yang, X., Zhang, X., Ming, P., Xiao, Y., Guo, X.","58076915300;57194780856;15822302600;57377116500;58847830300;","Current trends and future prospects of electrodeposition technology for the preparation of heterogeneous structural materials",2025,"Journal of Manufacturing Processes","134",,,"29","59",,,"10.1016/j.jmapro.2024.12.026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212402740&doi=10.1016%2fj.jmapro.2024.12.026&partnerID=40&md5=e4f6409eb0f1d699571cc9f2f1df74f9",Review,"Final","",Scopus,2-s2.0-85212402740
"Sun, D., Lu, Z., Li, X., Gao, S., Li, H.","57855254000;57210071642;56883550700;57982692500;57848719200;","Achieving strength-ductility synergy of ODS-FeCrAl alloys via heterostructured strategy",2025,"Materials Science and Engineering: A","920",,"147536","","",,,"10.1016/j.msea.2024.147536","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209080129&doi=10.1016%2fj.msea.2024.147536&partnerID=40&md5=ed9890d3faf3b58cba49065fb5da727f",Article,"Final","",Scopus,2-s2.0-85209080129
"Zhang, Y., Su, R., Ma, H., Liang, X., Xu, C., Han, K., Liu, W., Wang, X., Shen, Q., Xu, Y.","58643746400;55750915000;56706698700;57996363000;58166590700;59318597100;58166172800;57886001600;57995757800;59318908700;","Investigation on fatigue performance and residual stress release mechanism of split sleeve cold expansion holes of heterogeneous 7050-T7451 aluminum alloy",2024,"Journal of Alloys and Compounds","1007",,"176446","","",,,"10.1016/j.jallcom.2024.176446","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203409744&doi=10.1016%2fj.jallcom.2024.176446&partnerID=40&md5=23492b4a0e8c56ef0816d9ee69c99f81",Article,"Final","",Scopus,2-s2.0-85203409744
"Zhang, L., Yuan, Q., Tan, J., Dong, Q., Lv, H., Wang, F., Tang, A., Eckert, J., Pan, F.","59478201100;57213328931;57189300778;57204928850;57214451947;58249821100;7201845998;55613237718;22334228300;","Enhancing the room-temperature plasticity of magnesium alloys: Mechanisms and strategies",2024,"Journal of Magnesium and Alloys","12","12",,"4741","4767",,1,"10.1016/j.jma.2024.12.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212401920&doi=10.1016%2fj.jma.2024.12.008&partnerID=40&md5=bff6b78be45cd58f9ffc587c5b354050",Review,"Final","All Open Access, Gold",Scopus,2-s2.0-85212401920
"Chen, J., Wang, C., Ling, J., Wang, P., Li, J., Jin, H., Cao, Y.","58814044700;59348533500;59348842000;59102992600;58986162400;59348336100;59164067100;","Strength-ductility mechanism of combined heterostructured CoCrFeMnNi high-entropy alloy prepared by laser heat-treatment process",2024,"Intermetallics","175",,"108511","","",,1,"10.1016/j.intermet.2024.108511","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205286989&doi=10.1016%2fj.intermet.2024.108511&partnerID=40&md5=94f61e3ab773eae7a52c66bde6721f26",Article,"Final","",Scopus,2-s2.0-85205286989
"Dan, X., Ren, C., Song, Z., Waqar, S., Zhang, D., Wang, M., Liu, Q., Sun, Y., Chen, X., Jiang, W., Ni, S., Lu, J., Chan, K.C., Liu, L., Pan, J., Zhu, Y., Chen, Z.","57209140915;57193532743;57221750991;57192237246;57209454375;57818443100;57208295063;58810080900;57274014200;55645054800;36677996400;58808930200;7406032708;35307300400;57216867229;57283408800;55695418000;","Exceptional strength and ductility in heterogeneous multi-gradient TiAl alloys through additive manufacturing",2024,"Acta Materialia","281",,"120395","","",,2,"10.1016/j.actamat.2024.120395","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204081269&doi=10.1016%2fj.actamat.2024.120395&partnerID=40&md5=fdca6531389fe11997d50b5d298db3b0",Article,"Final","",Scopus,2-s2.0-85204081269
"Wang, C., Cao, Y., Li, J., Peng, W., Xin, D., Chen, J.","59348533500;59164067100;58986162400;57196374863;57719639600;58814044700;","Cryogenic strength-ductility mechanism of heterostructured CoCrFeMnNi high-entropy alloy",2024,"Journal of Materials Research and Technology","33",,,"7004","7016",,1,"10.1016/j.jmrt.2024.11.101","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208675130&doi=10.1016%2fj.jmrt.2024.11.101&partnerID=40&md5=d99fe54b43c51c4579070a71c535a41d",Article,"Final","",Scopus,2-s2.0-85208675130
"Zhang, X., Li, G., Zhao, H., Gao, J., Wu, H., Zhang, C., Huang, Y., Wu, G., Wang, S., Mao, X.","59258010000;59444084800;56528597200;56477621400;57311076900;36667902800;57196143175;57487707500;55264942500;8919703500;","Evolution of microstructure and mechanical properties along the thickness direction of 500 MPa HSLA steel heavy plates",2024,"Materials Science and Engineering: A","913",,"147097","","",,,"10.1016/j.msea.2024.147097","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201074810&doi=10.1016%2fj.msea.2024.147097&partnerID=40&md5=88677f55b5dd20ffc303662c87a63311",Article,"Final","",Scopus,2-s2.0-85201074810
"Ren, F., Yan, W., Li, L., Gao, T., He, H., Wang, Y., Liu, G.","59331664200;22735822400;57210645504;35090028100;58287149200;57871922200;58997977300;","Molecular dynamics investigation of rotation-assisted grinding process for GaN with layered heterostructure of the Wurtzite/Zinc-blende",2024,"Journal of Materials Science","59","36",,"17096","17114",,,"10.1007/s10853-024-10201-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204246950&doi=10.1007%2fs10853-024-10201-w&partnerID=40&md5=808d16142758c860dcc17d1c13e53d48",Article,"Final","",Scopus,2-s2.0-85204246950
"Li, S., Li, S., Liu, H., Liu, L., Pan, D., Li, G., Wang, Z., Hou, X., Gao, J., Zhang, X., Li, B., Zhu, Y.","58072728700;24503301000;58542930400;57214941994;58107316200;58450701800;58450004000;15848205800;55702603600;57197820022;59045406500;57200203137;","Achieving back-stress strengthening at high temperature via heterogeneous distribution of nano TiBw in titanium alloy by electron beam powder bed fusion",2024,"Materials Characterization","215",,"114132","","",,2,"10.1016/j.matchar.2024.114132","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197546002&doi=10.1016%2fj.matchar.2024.114132&partnerID=40&md5=9fb3076c27e82cae85c39f3df4320044",Article,"Final","",Scopus,2-s2.0-85197546002
"Zhu, X., Yang, L., Song, Z.","57218651214;23502091200;12345225200;","The high strength and ductility mechanism of Zn-0.45Mn-0.8Li alloys with heterogeneous lamellar structure",2024,"Materials Science and Engineering: A","909",,"146853","","",,1,"10.1016/j.msea.2024.146853","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196410069&doi=10.1016%2fj.msea.2024.146853&partnerID=40&md5=479d88d1e1367cc96b99a39ff654c2d9",Article,"Final","",Scopus,2-s2.0-85196410069
"Roy, A., Dhal, A., Mock, C., McWilliams, B.A., Cho, K.C., Mishra, R.S.","58829967400;56747627400;57204100625;13006186900;7403956447;7402648240;","Deciphering mechanical heterogeneity of additively manufactured martensitic steel using high throughput nanoindentation combined with machine learning",2024,"Additive Manufacturing","93",,"104408","","",,,"10.1016/j.addma.2024.104408","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203457787&doi=10.1016%2fj.addma.2024.104408&partnerID=40&md5=f277e3d5cc6c525cbfcbff82efdee588",Article,"Final","",Scopus,2-s2.0-85203457787
"Qiang, W., Wu, Q., Long, L.","58078906800;57217773459;8436656600;","Shear bands and interface-affected-zone enabled high strength and ductility in heterogeneous laminate-Cu",2024,"Materials Today Communications","40",,"109541","","",,1,"10.1016/j.mtcomm.2024.109541","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195801949&doi=10.1016%2fj.mtcomm.2024.109541&partnerID=40&md5=f806cc484319d0fd228ac268b6d8cefd",Article,"Final","",Scopus,2-s2.0-85195801949
