Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Wu, Y., Chen, J., Hu, L., Xu, H., Liang, H., Wu, J.","57757386900;57211999917;57216746131;57222187378;35334583200;56129220900;","OmniFuse: A general modality fusion framework for multi-modality learning on low-quality medical data",2025,"Information Fusion","117",,"102890","","",,,"10.1016/j.inffus.2024.102890","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213247053&doi=10.1016%2fj.inffus.2024.102890&partnerID=40&md5=c057933e82dcf3e23934886d8b1d6af3",Article,"Final","",Scopus,2-s2.0-85213247053
"Ma, Q., Wang, G., Li, Y., Mao, K., Xu, L., Zhao, Y.","58297814200;58296936200;58446008100;35435711500;55732555900;55350109700;","A skin lesion segmentation network with edge and body fusion",2025,"Applied Soft Computing","170",,"112683","","",,,"10.1016/j.asoc.2024.112683","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214405411&doi=10.1016%2fj.asoc.2024.112683&partnerID=40&md5=1f3fbf013ecc04ad50facf49cf023908",Article,"Final","",Scopus,2-s2.0-85214405411
"Xiang, X., Li, D., Wang, X., Zhou, X., Qiao, Y.","35732487900;59320871100;58889749200;59320440100;14021900400;","VIDF-Net: A Voxel-Image Dynamic Fusion method for 3D object detection",2024,"Computer Vision and Image Understanding","249",,"104164","","",,,"10.1016/j.cviu.2024.104164","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203545523&doi=10.1016%2fj.cviu.2024.104164&partnerID=40&md5=45172fd4963032e6797615a28b8ef5b8",Article,"Final","",Scopus,2-s2.0-85203545523
"Zhang, H., Wan, J., He, Z., Song, J., Yang, Y., Yuan, D.","57103774200;57565919700;58154597000;58299708900;56519809800;57202946255;","Sparse agent transformer for unified voxel and image feature extraction and fusion",2024,"Information Fusion","110",,"102455","","",,1,"10.1016/j.inffus.2024.102455","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192719648&doi=10.1016%2fj.inffus.2024.102455&partnerID=40&md5=6510ecc758f077b0a6267a25a2c3988f",Review,"Final","",Scopus,2-s2.0-85192719648
"Liang, A., Hua, H., Fang, J., Zhao, H., Liu, T.","57932374100;35317606800;57195608421;35319203100;57193625981;","Boosting 3D point-based object detection by reducing information loss caused by discontinuous receptive fields",2024,"International Journal of Applied Earth Observation and Geoinformation","132",,"104049","","",,1,"10.1016/j.jag.2024.104049","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200466530&doi=10.1016%2fj.jag.2024.104049&partnerID=40&md5=23584f8af81862006734427f9f746e4c",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85200466530
"Wu, Y., Liu, J., Gong, M., Miao, Q., Ma, W., Xu, C.","56215531900;57222277278;8933846400;9133503300;57205878746;57204475787;","Joint Semantic Segmentation using representations of LiDAR point clouds and camera images",2024,"Information Fusion","108",,"102370","","",,5,"10.1016/j.inffus.2024.102370","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188645228&doi=10.1016%2fj.inffus.2024.102370&partnerID=40&md5=3b13f413894f3743ef7aa8b881be381d",Article,"Final","",Scopus,2-s2.0-85188645228
"Liu, H., Wang, Y., Chu, H., Zou, B., Chen, J., Ma, H.","57330973000;57225158731;57224906877;55936534800;55717653300;56406620700;","Enhancing pseudo label quality for pedestrian and cyclist in weakly supervised 3D object detection",2024,"Neurocomputing","584",,"127531","","",,1,"10.1016/j.neucom.2024.127531","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188906774&doi=10.1016%2fj.neucom.2024.127531&partnerID=40&md5=503347a9125a5e28faace38894421c7e",Article,"Final","",Scopus,2-s2.0-85188906774
"Chen, H., Wang, Z., Qin, H., Mu, X.","58070593900;59106155900;7203032049;57193995286;","DHFNet: Decoupled Hierarchical Fusion Network for RGB-T dense prediction tasks",2024,"Neurocomputing","583",,"127594","","",,4,"10.1016/j.neucom.2024.127594","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189091599&doi=10.1016%2fj.neucom.2024.127594&partnerID=40&md5=c798aa7fb06b757bf997d89745469865",Article,"Final","",Scopus,2-s2.0-85189091599
"Wei, M., Li, J., Kang, H., Huang, Y., Lu, J.-G.","58132038600;57207835640;58565307100;57198358598;7601560768;","BEV-CFKT: A LiDAR-camera cross-modality-interaction fusion and knowledge transfer framework with transformer for BEV 3D object detection",2024,"Neurocomputing","582",,"127527","","",,3,"10.1016/j.neucom.2024.127527","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187954789&doi=10.1016%2fj.neucom.2024.127527&partnerID=40&md5=d3a7fb8ceb224cbdec580d7806aae7f6",Article,"Final","",Scopus,2-s2.0-85187954789
"Ivanov, V.I.","57203338121;","Methodology and algorithms for obtaining long-range 3D-portraits of objects based on 2D-intensity distributions of truncated realizations of reflected laser radiation",2024,"Computer Optics","48","3",,"386","396",,,"10.18287/2412-6179-CO-1301","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208434124&doi=10.18287%2f2412-6179-CO-1301&partnerID=40&md5=d6b22ae9e2b139bd3dc12d5123dc207f",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85208434124
